"","Sensitivity (PA)","Specificity","PosPredValue (UA)","NegPredValue"
"Cerrado",0.8775,0.985410719949255,0.884130982367758,0.98447401774398
"Fallow_Cotton",0.613333333333333,0.99252443933295,0.638888888888889,0.991669060614766
"Forest",0.91304347826087,0.995607613469985,0.893617021276596,0.996483001172333
"Pasture",0.913612565445026,0.943913585375987,0.885786802030457,0.958245466048081
"Soy_Beans",0.275862068965517,0.992846924177396,0.390243902439025,0.988041002277904
"Soy_Corn",0.66,0.937519822391373,0.572668112798265,0.95601552393273
"Soy_Cotton",0.8125,0.970821439898509,0.779376498800959,0.976084183673469
"Soy_Coverage",0.218181818181818,0.979378449027011,0.252631578947368,0.97513013302487
"Soy_Crotalaria",0.184210526315789,0.98849582973828,0.259259259259259,0.982280651614747
"Soy_Fallow",0.886363636363636,0.997979797979798,0.917647058823529,0.997116493656286
"Soy_Millet",0.557647058823529,0.938299232736573,0.551162790697674,0.939801472942683
"Soy_Pasture",0.207547169811321,0.993428571428571,0.323529411764706,0.988064791133845
"Soy_Sorghum",0.0333333333333333,0.991697681076439,0.0645161290322583,0.983532084043157
"Soy_Sunflower",0.508064516129032,0.985418489355497,0.557522123893806,0.982267441860465
