id,longitude,latitude,start_date,end_date,label
1,-55.65931,-11.76267,2013-09-14,2014-08-29,Pasture
2,-55.64833,-11.76385,2013-09-14,2014-08-29,Pasture
3,-55.66738,-11.78032,2013-09-14,2014-08-29,Forest
4,-55.64747,-11.75276,2013-09-14,2014-08-29,Pasture
5,-55.65742,-11.78788,2013-09-14,2014-08-29,Forest
6,-55.63168,-11.74771,2013-09-14,2014-08-29,Forest
7,-55.68369,-11.73679,2013-09-14,2014-08-29,Soy_Corn
8,-55.69004,-11.73343,2013-09-14,2014-08-29,Soy_Corn
9,-55.67854,-11.74519,2013-09-14,2014-08-29,Soy_Corn
10,-55.64215,-11.77595,2013-09-14,2014-08-29,Soy_Corn
11,-55.63219,-11.77259,2013-09-14,2014-08-29,Soy_Corn
12,-55.62223,-11.78653,2013-09-14,2014-08-29,Soy_Corn
13,-55.75218,-11.73225,2013-09-14,2014-08-29,Cerrado
14,-55.75218,-11.68855,2013-09-14,2014-08-29,Cerrado
15,-55.68764,-11.61525,2013-09-14,2014-08-29,Cerrado
16,-55.63614,-11.63110,2013-09-14,2014-08-29,Soy_Corn
17,-55.37384,-11.71746,2013-09-14,2014-08-29,Soy_Corn
18,-55.52284,-11.58296,2013-09-14,2014-08-29,Pasture
